tweets,len,ID,Date,Source,Likes,RTs,location,UserName,Name
"التفاصيل الصغيرة لها تأثيرها! 💛
https://t.co/kso3leL4sc https://t.co/jmu2pGg8Pw",1,1044232500426420225,2018-09-24 14:30:03,Socialbakers,6,2,Kingdom of Saudi Arabia,noon,نون
@zizoalshehri20 لا شكر على واجب زيزو، هذا واجبنا🤗,1,1044167686664728576,2018-09-24 10:12:30,Falcon Social Media Management ,0,0,Kingdom of Saudi Arabia,noon,نون
@hellm2015 😍,1,1044034977241976834,2018-09-24 01:25:10,Falcon Social Media Management ,0,0,Kingdom of Saudi Arabia,noon,نون
@hellm2015 نتمنى أن يكون الطلب قد نال إعجابك 😍,1,1044028026386894848,2018-09-24 00:57:33,Falcon Social Media Management ,0,0,Kingdom of Saudi Arabia,noon,نون
"من ماضي استلهمنا رؤية مستقبل
 من قصة عشنا الحلم حقيقة

كل عام ومملكتنا العزيزة بخير 🇸🇦

#88_عاماً_من_العطاء 
#ورثناها_منه https://t.co/8VaXGRmzoN",1,1043836503468769280,2018-09-23 12:16:30,Twitter for iPhone,14,6,Kingdom of Saudi Arabia,noon,نون
@MohammadBafarat شكراً لك ولكلماتك الجميلة، نتمنى أن تكون نون هي إختيارك الأول دوماً 💛,1,1043807583209951233,2018-09-23 10:21:35,Falcon Social Media Management ,0,0,Kingdom of Saudi Arabia,noon,نون
@seropotter نحترم رغبتك بالإلغاء ولكن نود معرفة السبب عبر الخاص كي نتمكن من تحسين تجربتك معنا مستقبلاً.,1,1043673116424261634,2018-09-23 01:27:16,Falcon Social Media Management ,0,0,Kingdom of Saudi Arabia,noon,نون
"نوّنها مع #اليوم_الوطني بخصم 18% مع بنك ساب💛🇸🇦
@SABBBank 
https://t.co/DIosdLTEh2 https://t.co/gbY6uGRuzx",1,1043485858417000448,2018-09-22 13:03:10,Twitter for iPhone,3,2,Kingdom of Saudi Arabia,noon,نون
@A_A_A366 شكراً لك أمجد، خدمتك على الوجه الأكمل هي مسؤوليتنا وهدفنا هو تقديم أفضل تجربة تسوق لك! 💛,1,1043475360418029570,2018-09-22 12:21:27,Falcon Social Media Management ,0,0,Kingdom of Saudi Arabia,noon,نون
@_AJ5K شكراً لاختيارك نون! 😍,1,1043472264296112128,2018-09-22 12:09:09,Falcon Social Media Management ,0,0,Kingdom of Saudi Arabia,noon,نون
@Hdhd35414123 شكراً على كلامك الرائع، ونتمنى أن نكون دائماً عند حسن ظنك🤗,1,1043375879697641474,2018-09-22 05:46:09,Falcon Social Media Management ,0,0,Kingdom of Saudi Arabia,noon,نون
@amjjjaddd63 شكراً لك ولكلماتك المحفزة، نتمنى أن نراك دائماً تتسوق من نون😍💛,1,1043105979439751169,2018-09-21 11:53:40,Falcon Social Media Management ,0,0,Kingdom of Saudi Arabia,noon,نون
"قلب أخضر ونوّنها بالأصفر💛🇸🇦

https://t.co/qZz9wPQx0g

#اليوم_الوطني88 https://t.co/oZaLtqSLbI",1,1043084933558755330,2018-09-21 10:30:02,Socialbakers,8,4,Kingdom of Saudi Arabia,noon,نون
@omdaah007 نحن سعداء بسماع ذلك، ونتمنى أن نكون دائماً عند حسن ظنك بنا 💛😊,1,1043068200441790466,2018-09-21 09:23:32,Falcon Social Media Management ,0,0,Kingdom of Saudi Arabia,noon,نون
@zizoalshehri20 مرحبًا، يسعدنا سماع ذلك ونتمنى أن نكون عند حسن ظنك دائمًا. شكرًا جزريلًا,1,1042956090282049541,2018-09-21 01:58:03,Falcon Social Media Management ,0,0,Kingdom of Saudi Arabia,noon,نون
@yooos101010 نشكرك على مشاركتك تجربتك معنا و بإذن الله سوف نكون دائماً عند حسن ظنك💛💛,1,1042820038712086528,2018-09-20 16:57:26,Falcon Social Media Management ,0,0,Kingdom of Saudi Arabia,noon,نون
"#ورثناها_منه | للناس اللي تؤمن بالمستقبل وتحدياته، بالماضي والإرث، وأصل السعودي لأفعاله. هذا العمل صُنع خصيصاً لك🇸🇦

#اليوم_الوطني88 https://t.co/WgdJVUGAGc",1,1042784597879259137,2018-09-20 14:36:36,Twitter for iPhone,384,115,Kingdom of Saudi Arabia,noon,نون
"@NatQueenD Hi Natasha, we are glad to hear that, wish you a very happy weekend!😍💛",1,1042769924324777985,2018-09-20 13:38:18,Falcon Social Media Management ,1,0,Kingdom of Saudi Arabia,noon,نون
"@jesscombes @souq @desertcartmena Hi Jess, we are happy to hear this and hope we always exceed your expectations! 😊",1,1042694463485865984,2018-09-20 08:38:27,Falcon Social Media Management ,1,0,Kingdom of Saudi Arabia,noon,نون
"كل فصل من السنة له عطوراته 🏖
https://t.co/AHlTx6ifhU https://t.co/HhPB1xpJkL",1,1042443201179639808,2018-09-19 16:00:01,Socialbakers,18,2,Kingdom of Saudi Arabia,noon,نون
"شيّك على منتجات “نون المميز” ونوّنها الحين💛
https://t.co/cesEkl1Tcp https://t.co/2LLLuGfX2S",1,1042358142670004224,2018-09-19 10:22:01,Socialbakers,13,0,Kingdom of Saudi Arabia,noon,نون
@h507d_ نشكرك على كلامك الذي يجعلنا نتقدم و نتمنى أن نكون دائماً عند حسن ظنك💛🌹,1,1042093512060231680,2018-09-18 16:50:29,Falcon Social Media Management ,0,0,Kingdom of Saudi Arabia,noon,نون
"عجّل! ونوّنها خصم رهيب💛
https://t.co/VT6aM7zTGS https://t.co/OiY81HipWS",1,1042074839853322240,2018-09-18 15:36:17,Socialbakers,4,4,Kingdom of Saudi Arabia,noon,نون
@M_addwish يسعدنا سماع ذلك، ونتمنى أن نكون دائماً عند حسن ظنك بنا💛😍,1,1042072258892754944,2018-09-18 15:26:01,Falcon Social Media Management ,0,0,Kingdom of Saudi Arabia,noon,نون
نوّنها بخصم 20% مع بطاقات الراجحي💛💳 https://t.co/iz4EocG6Br,1,1042040588068184065,2018-09-18 13:20:11,Twitter for iPhone,5,2,Kingdom of Saudi Arabia,noon,نون
@Turki_baasha نتمنى أن تكون قد نالت إعجابك😍💛,1,1042039965612421120,2018-09-18 13:17:42,Falcon Social Media Management ,0,0,Kingdom of Saudi Arabia,noon,نون
@qawses188 تتهنى فيها 💛😍,1,1042035340331106304,2018-09-18 12:59:19,Falcon Social Media Management ,1,0,Kingdom of Saudi Arabia,noon,نون
@Rooh2216 مرحباً، نحن سعداء بسماع ذلك ونتمنى أن نكون عند حسن ظنك دائما!😊💛,1,1041943690900643840,2018-09-18 06:55:08,Falcon Social Media Management ,0,0,Kingdom of Saudi Arabia,noon,نون
ناس نون | صالح الزهير والفن الموسيقي 🇸🇦💛 https://t.co/iR1L1ijTa2,1,1041706245890158592,2018-09-17 15:11:37,Twitter for iPhone,19,4,Kingdom of Saudi Arabia,noon,نون
@belal_bukhari1 @HungerStation مرحباً بلال، نحن سعداء بسماع ذلك، ونتمنى أن نكون دائماً عند حسن ظنك!💛,1,1041621882456485888,2018-09-17 09:36:23,Falcon Social Media Management ,0,0,Kingdom of Saudi Arabia,noon,نون
"@SaadGomaa مرحباً سعد، كل الشكر لك على محبتك التي نسعد ونفخر ونكبر بها. إلى أن نلتقي مجدداً، أطيب التحيات من القلب! 
#noonlove",1,1041573438517854209,2018-09-17 06:23:53,Falcon Social Media Management ,1,0,Kingdom of Saudi Arabia,noon,نون
@itwiniil مرحبًا، ونحن نعتز بك جدًا😍,1,1041471447116472321,2018-09-16 23:38:37,Falcon Social Media Management ,0,1,Kingdom of Saudi Arabia,noon,نون
"الخصم الزين للزين! 
نوّنها الحين 💛
 https://t.co/LXZVAlitpt https://t.co/MuSB3oyUDs",1,1041310967668211712,2018-09-16 13:00:55,Socialbakers,9,0,Kingdom of Saudi Arabia,noon,نون
"ستايل يعبّر عن شخصيتك 💛
 https://t.co/aZ7ftllPov https://t.co/OQLN6tmQE6",1,1041001766941282304,2018-09-15 16:32:16,Twitter for iPhone,4,0,Kingdom of Saudi Arabia,noon,نون
"كل سنة وأنتم طيبين🎂

يلا نوّنها مع مرسول💛 https://t.co/wv0tsU0zEw",1,1040965446680424448,2018-09-15 14:07:57,Twitter for iPhone,13,2,Kingdom of Saudi Arabia,noon,نون
@motfaaala يسعدنا سماع ذلك، ونتمنى أن نكون دائماً عند حسن ظنك بنا💛😍,1,1040859137570164736,2018-09-15 07:05:31,Falcon Social Media Management ,0,0,Kingdom of Saudi Arabia,noon,نون
"على البال كل التفاصيل وأحلى التفاصيل🎶
 https://t.co/zYDo05y1T6 https://t.co/K352j56Lzu",1,1040608743187087360,2018-09-14 14:30:32,Socialbakers,17,0,Kingdom of Saudi Arabia,noon,نون
@sammrkh مرحباً سامر، يسعدنا سماع ذلك، ونتمنى أن نكون عند حسن ظنك دائماً💛,1,1040573318959648768,2018-09-14 12:09:46,Falcon Social Media Management ,0,0,Kingdom of Saudi Arabia,noon,نون
@ass2244 مرحبًا، نتمنى أن يكون الطلب قد نال إعجابك 😍,1,1040434640744587264,2018-09-14 02:58:43,Falcon Social Media Management ,0,0,Kingdom of Saudi Arabia,noon,نون
@IIOIIlOII مرحبًا، يسعدنا سماع ذلك ونتطلع لتقديم مستوى خدمة يليق بكم دائمًا. شكرًا لك,1,1040343142405468165,2018-09-13 20:55:08,Falcon Social Media Management ,0,0,Kingdom of Saudi Arabia,noon,نون
@Abdulmaleik14 You are more than welcome 💛,1,1040328632860913664,2018-09-13 19:57:29,Falcon Social Media Management ,1,0,Kingdom of Saudi Arabia,noon,نون
@SaadGomaa يسرنا سماع ذلك، ونتمنى أن نكون عند حسن ظنك دائمًا وأن نقدم خدمة تليق بكم. شكرًا جزيلًا,1,1040324495901425664,2018-09-13 19:41:02,Falcon Social Media Management ,1,0,Kingdom of Saudi Arabia,noon,نون
@DMAR_XA نشكرك على مشاركتك تجربتك معنا و بإذن الله سوف نكون دائماً عند حسن ظنك💛😍,1,1040274067792834562,2018-09-13 16:20:39,Falcon Social Media Management ,1,0,Kingdom of Saudi Arabia,noon,نون
"خطير والله خطير 🎶
نوّنها اليوم ولا تنسى كود: خطير
 https://t.co/3mCytDXImk https://t.co/rFNoPpOLOa",1,1040223611779313664,2018-09-13 13:00:10,Socialbakers,15,2,Kingdom of Saudi Arabia,noon,نون
@Fhd_ae @ibrg_ نشكرك على مشاركتك تجرتك معنا و نتمنى أن تكون المنتجات قد نالت اعجابك💛😍,1,1040209085034110976,2018-09-13 12:02:26,Falcon Social Media Management ,0,0,Kingdom of Saudi Arabia,noon,نون
@ar_33sa مرحبا أروى، شكراً لك ونتمنى ان نكون عند حسن ظنك دائماً!,1,1040117353923719168,2018-09-13 05:57:56,Falcon Social Media Management ,0,0,Kingdom of Saudi Arabia,noon,نون
@hellm2015 مرحباً، يسعدنا سماع ذلك ونعدك بأن نكون دوماً عند حسن ظنك. 😍💛,1,1040108746909863936,2018-09-13 05:23:44,Falcon Social Media Management ,0,0,Kingdom of Saudi Arabia,noon,نون
@hhff65 مرحبًا حسين، يسعدنا سماع ذلك ويحفزنا لتقديم خدمة تليق بكم ولنكون الأفضل دائمًا. شكرًا جزيلًا,1,1039998733835005953,2018-09-12 22:06:35,Falcon Social Media Management ,0,0,Kingdom of Saudi Arabia,noon,نون
@amalalshamerii نشكرك على كلامك الراقي الذي يجعلنا نتقدم💛😍 نرجو منك التواصل معنا عبر الخاص لكي نقوم بمساعدتك بشأن استفسارك. شكراً.,1,1039911093462880257,2018-09-12 16:18:19,Falcon Social Media Management ,0,1,Kingdom of Saudi Arabia,noon,نون
"الحياة بنظرة مختلفة 🕶
 https://t.co/RejUykLL3s https://t.co/v7V1QkxUV3",1,1039891619116285952,2018-09-12 15:00:56,Socialbakers,5,1,Kingdom of Saudi Arabia,noon,نون
@3siriy نشكرك على مشاركتك تجربتك معنا و نتمنى أن يكون الطلب قد نال اعجابك💛😍!,1,1039876757871054853,2018-09-12 14:01:53,Falcon Social Media Management ,0,0,Kingdom of Saudi Arabia,noon,نون
"@RetailSpillover @noonuae Hi Apaar, thank you so much for sharing your experience and for your kind words which mean a lot to us. 🙌 We promise you that the best is yet to come. Till we meet again #noonlove! 💛",1,1039813656014475265,2018-09-12 09:51:09,Falcon Social Media Management ,1,0,Kingdom of Saudi Arabia,noon,نون
"@Shadow87_ Hi Saad, thank you for sharing your shopping experience, and we hope you like your new earphones. Till we meet again #noonlove

 مرحباً سعد، شكراً لك لمشاركة تجربتك معنا ونتمنى أن تكون سماعاتك الجديدة قد نالت إعجابك. إلى أن نلتقي مجدداً، أطيب التحيات!",1,1039754761157963776,2018-09-12 05:57:07,Falcon Social Media Management ,1,1,Kingdom of Saudi Arabia,noon,نون
"حلوة وعمليّة وكشخة😉 💛
https://t.co/mDTdAfukiP https://t.co/LHvlnikttS",1,1039574301152669696,2018-09-11 18:00:02,Socialbakers,3,1,Kingdom of Saudi Arabia,noon,نون
@f_uae2020 على الرحب و السعة عزيزتنا و بإذن الله سوف نكون دائماً عند حسن ظنك💛🌹!,1,1039545748642299905,2018-09-11 16:06:34,Falcon Social Media Management ,0,0,Kingdom of Saudi Arabia,noon,نون
@Abood1506612440 مرحباً، يرجى التواصل معنا عبر الخاص حتى نتمكن من مساعدتك  بشكل أفضل، شكراً لك.,1,1039528535420022785,2018-09-11 14:58:11,Falcon Social Media Management ,0,0,Kingdom of Saudi Arabia,noon,نون
"#سنة_جديدة_١٤٤٠ه يبيلها جوال جديد📱

 نوّنها مع كود “جوالك” ولك خصم 100 ريال💛 https://t.co/jHESC2aNAf",1,1039523252761030657,2018-09-11 14:37:11,Socialbakers,19,5,Kingdom of Saudi Arabia,noon,نون
@Noon_Oo6 على الرحب و السعة عزيزتنا نورة💛 يسعدنا كلامك الراقي الذي يجعلنا نتقدم و نتمنى أن تكون المنتجات قد نالت اعجابك💛🌹!,1,1039224320634101761,2018-09-10 18:49:20,Falcon Social Media Management ,0,0,Kingdom of Saudi Arabia,noon,نون
@Muhand_18 @noon_cares الله يعافيك💛🌹,1,1039182561208086528,2018-09-10 16:03:24,Falcon Social Media Management ,0,0,Kingdom of Saudi Arabia,noon,نون
@Do0oDeEe1 مرحباً، نشكرك على كلامك الراقي الذي يجعلنا نتقدم و بإذن الله سوف نكون عند حسن ظنك دائماً💛💛!,1,1039172157681659906,2018-09-10 15:22:03,Falcon Social Media Management ,1,0,Kingdom of Saudi Arabia,noon,نون
"ضبّط بيتك ونوّنها 🏠
https://t.co/9LAXycIQNz https://t.co/ryyf9MB945",1,1039136412925288449,2018-09-10 13:00:01,Socialbakers,6,3,Kingdom of Saudi Arabia,noon,نون
@Amalq10864097 @da3m_saleh شكراً لك من القلب، نعدك ان نكون دائماً عند حسن ظنكم!🙏💛,1,1039110814140194817,2018-09-10 11:18:18,Falcon Social Media Management ,0,0,Kingdom of Saudi Arabia,noon,نون
@7ekm5 @i5smxi يسعدنا سماع ذلك، شكرًا لك على كلماتك الرائعة التي تحفزنا للتطور وتقديم مستوى خدمة يليق بعملائنا. شكرًا جزيلًا,1,1038986359321645056,2018-09-10 03:03:46,Falcon Social Media Management ,0,0,Kingdom of Saudi Arabia,noon,نون
@MMe7md @noon_cares بإذن الله سينال إعجابك، ونتمنى أن نراك في تجربة جديدة. شكرًا جزيلًا!,1,1038892278306283522,2018-09-09 20:49:55,Falcon Social Media Management ,0,0,Kingdom of Saudi Arabia,noon,نون
"مشجر أو مخطط أو سادة
نونّها بثنتين على ذوقك 💛
https://t.co/lAIFzIxDuC https://t.co/sts1FSjmld",1,1038804224866320384,2018-09-09 15:00:01,Socialbakers,11,0,Kingdom of Saudi Arabia,noon,نون
@hoho1212121 شكراً لك شوق، كل المحبة لك من فريق عمل نون 😍 💛,1,1038740813252124673,2018-09-09 10:48:03,Falcon Social Media Management ,0,0,Kingdom of Saudi Arabia,noon,نون
"@MLWdi7Tfb6Jp8gB @da3m_saleh مرحباً آمال، يسعدنا سماع ذلك ونتمنى أن نكون دوماً عند حسن ظنك. إلى أن نلتقي مجدداً أطيب التحيات من فريق عمل نون.
💛💛💛",1,1038734243231424517,2018-09-09 10:21:56,Falcon Social Media Management ,0,0,Kingdom of Saudi Arabia,noon,نون
@Y5IUcDJlxqHhTx8 @da3m_saleh يسعدنا سماع ذلك هديل، شكراً لك! 💛💛💛,1,1038733959058911232,2018-09-09 10:20:49,Falcon Social Media Management ,0,0,Kingdom of Saudi Arabia,noon,نون
"@9ii_i3 @da3m_saleh مرحباً، شكراً لك من القلب على الأمنيات الطيبة. 💛
#noonlove",1,1038733669198979072,2018-09-09 10:19:40,Falcon Social Media Management ,0,0,Kingdom of Saudi Arabia,noon,نون
@loorein__90 @da3m_saleh على الرحب والسعة لورين. 💛😊,1,1038733030200954880,2018-09-09 10:17:07,Falcon Social Media Management ,0,0,Kingdom of Saudi Arabia,noon,نون
@sooolaf_50 @da3m_saleh على الرحب والسعة! 💛,1,1038732750491209728,2018-09-09 10:16:01,Falcon Social Media Management ,0,0,Kingdom of Saudi Arabia,noon,نون
@AAsiri_ @da3m_saleh الله يعافيكِ ليان. 💛🙏,1,1038732577874563073,2018-09-09 10:15:19,Falcon Social Media Management ,0,0,Kingdom of Saudi Arabia,noon,نون
@x_ktrq @da3m_saleh العفو!,1,1038732343081619456,2018-09-09 10:14:23,Falcon Social Media Management ,0,0,Kingdom of Saudi Arabia,noon,نون
@ftf_37 @da3m_saleh على الرحب والسعة!,1,1038732226316455937,2018-09-09 10:13:56,Falcon Social Media Management ,0,0,Kingdom of Saudi Arabia,noon,نون
@M___g70 @da3m_saleh @s_alqhtani7 شكراً لك ميمي على محبتك التي نكبر ونفخر بها ونعدك بأن نكون دوماً عند حسن ظنك! 💛💛💛,1,1038731669501554688,2018-09-09 10:11:43,Falcon Social Media Management ,0,0,Kingdom of Saudi Arabia,noon,نون
@gh___j70 @da3m_saleh يسعدنا سماع ذلك ونعدك بأن نكون دوماً عند حسن ظنك 💛,1,1038730942171553793,2018-09-09 10:08:49,Falcon Social Media Management ,0,0,Kingdom of Saudi Arabia,noon,نون
"@shahrani_70 @da3m_saleh مرحباً لمياء، شكراً لك ونعدك بأن نكون دوماً عند حسن ظنك! 💛
#noonlove",1,1038729409879060481,2018-09-09 10:02:44,Falcon Social Media Management ,0,0,Kingdom of Saudi Arabia,noon,نون
@maa_70 @da3m_saleh على الرحب والسعة ليلى. 💛💛,1,1038729234217353216,2018-09-09 10:02:02,Falcon Social Media Management ,0,0,Kingdom of Saudi Arabia,noon,نون
@H_alasmry @da3m_saleh على الرحب والسعة حنان. 💛💛,1,1038728249793306624,2018-09-09 09:58:08,Falcon Social Media Management ,0,0,Kingdom of Saudi Arabia,noon,نون
@Hagar01111 @da3m_saleh من دواعي سرورنا هاجر. 💛,1,1038727266501644291,2018-09-09 09:54:13,Falcon Social Media Management ,0,0,Kingdom of Saudi Arabia,noon,نون
@pylasaan77 @da3m_saleh على الرحب والسعة يا بيلسان 💛,1,1038727086758875136,2018-09-09 09:53:30,Falcon Social Media Management ,0,0,Kingdom of Saudi Arabia,noon,نون
@hano25__ @da3m_saleh مرحباً حنان، كل الشكر والتقدير لك.,1,1038726863185690624,2018-09-09 09:52:37,Falcon Social Media Management ,0,0,Kingdom of Saudi Arabia,noon,نون
@hoho1212121 @da3m_saleh على الرحب والسعة شوق! 💛💛💛,1,1038726634608775168,2018-09-09 09:51:42,Falcon Social Media Management ,0,0,Kingdom of Saudi Arabia,noon,نون
@EfCcYGsoXURQxPA @da3m_saleh العفو أصيلة! 💛💛,1,1038726215312596993,2018-09-09 09:50:02,Falcon Social Media Management ,0,0,Kingdom of Saudi Arabia,noon,نون
@farahturkey1 @da3m_saleh كل الشكر والتقدير لك فرح! 💛,1,1038726088090894337,2018-09-09 09:49:32,Falcon Social Media Management ,1,0,Kingdom of Saudi Arabia,noon,نون
@sho0_m @da3m_saleh على الرحب والسعة 😍💛,1,1038725697311846400,2018-09-09 09:47:59,Falcon Social Media Management ,1,0,Kingdom of Saudi Arabia,noon,نون
@aljazy__7 @da3m_saleh مرحباً، على الرحب والسعة! 💛,1,1038725420030550016,2018-09-09 09:46:53,Falcon Social Media Management ,0,0,Kingdom of Saudi Arabia,noon,نون
@axer138 @da3m_saleh مرحباً أمل، يسعدنا سماع ذلك ونتمنى أن نكون دوماً عند حسن ظنك! 💛🌼,1,1038723757840494597,2018-09-09 09:40:17,Falcon Social Media Management ,0,0,Kingdom of Saudi Arabia,noon,نون
@Re__021 @da3m_saleh من دواعي سرورنا 💛💛,1,1038722972566126592,2018-09-09 09:37:09,Falcon Social Media Management ,1,0,Kingdom of Saudi Arabia,noon,نون
@Laroz02 @da3m_saleh مرحباً نور، على الرحب والسعة! 💛,1,1038722785705684995,2018-09-09 09:36:25,Falcon Social Media Management ,1,0,Kingdom of Saudi Arabia,noon,نون
@shahd1_2 @da3m_saleh العفو يا شهد 💛,1,1038722584391675910,2018-09-09 09:35:37,Falcon Social Media Management ,0,0,Kingdom of Saudi Arabia,noon,نون
@kh_aca @da3m_saleh عفواً عفواً عفواً سماهر 😘💛💛💛,1,1038722345421230081,2018-09-09 09:34:40,Falcon Social Media Management ,0,0,Kingdom of Saudi Arabia,noon,نون
@Retaj021 @da3m_saleh على الرحب والسعة! 💛💛💛,1,1038721352675614720,2018-09-09 09:30:43,Falcon Social Media Management ,2,1,Kingdom of Saudi Arabia,noon,نون
@Ebtesam10121 @da3m_saleh العفو! 💛,1,1038721144113844224,2018-09-09 09:29:53,Falcon Social Media Management ,1,0,Kingdom of Saudi Arabia,noon,نون
@semo_6S6 @da3m_saleh على الرحب والسعة يا سما 😍💛,1,1038721016057548801,2018-09-09 09:29:23,Falcon Social Media Management ,0,0,Kingdom of Saudi Arabia,noon,نون
@nw_fr7 @da3m_saleh مرحباً أفراح، شكراً لك 💛 من دواعي سرورنا التعامل مع صالح القحطاني.,1,1038720739233472512,2018-09-09 09:28:17,Falcon Social Media Management ,0,0,Kingdom of Saudi Arabia,noon,نون
@fIRGYg8DYd2octz @da3m_saleh مرحباً رسيل. شكراً لك، يسعدنا سماع ذلك ونعدك بأن القادم أفضل! 🔥💛,1,1038720063711395840,2018-09-09 09:25:36,Falcon Social Media Management ,0,0,Kingdom of Saudi Arabia,noon,نون
@_iii3e @da3m_saleh على الرحب والسعة إيجي. 💛💛,1,1038719324939341824,2018-09-09 09:22:40,Falcon Social Media Management ,0,0,Kingdom of Saudi Arabia,noon,نون
@1EraM_ @da3m_saleh على الرحب والسعة إيرام ومن دواعي سرورنا! 💛,1,1038718483931037696,2018-09-09 09:19:19,Falcon Social Media Management ,0,0,Kingdom of Saudi Arabia,noon,نون
@hs_sq20 @da3m_saleh شكراً جزيلاً لك!  💛🌼,1,1038717994514481153,2018-09-09 09:17:22,Falcon Social Media Management ,0,0,Kingdom of Saudi Arabia,noon,نون
@_iiiA5 @da3m_saleh العفو. 💛,1,1038717625046589440,2018-09-09 09:15:54,Falcon Social Media Management ,0,0,Kingdom of Saudi Arabia,noon,نون
@iica_2 @da3m_saleh مرحباً جوري. شكراً لك، يسعدنا سماع ذلك ونعدك بأن القادم أفضل. 😍,1,1038717257948585984,2018-09-09 09:14:27,Falcon Social Media Management ,1,0,Kingdom of Saudi Arabia,noon,نون
@qKP9BSwov70PYRN 😍💛,1,1038689805075398657,2018-09-09 07:25:22,Falcon Social Media Management ,0,0,Kingdom of Saudi Arabia,noon,نون
@vciiiir @i5smxi 😍💛سعدين بخدمتكم,1,1038688494716182528,2018-09-09 07:20:09,Falcon Social Media Management ,0,0,Kingdom of Saudi Arabia,noon,نون
"@alharbi838 ياهلا! شكراً لك لمشاركة تجربتك. نتمنى أن تكون طلباتك قد نالت إعجابك ونعدك بأن نكون دوماً عند حسن ظنك. 🌼
#noonlove",1,1038687780543651840,2018-09-09 07:17:19,Falcon Social Media Management ,0,0,Kingdom of Saudi Arabia,noon,نون
"@RundTb Hey Rund, we're really glad to hear that and promise you the best is yet to come! 💛
Till we meet again. 😘",1,1038491070605217792,2018-09-08 18:15:40,Falcon Social Media Management ,1,0,Kingdom of Saudi Arabia,noon,نون
"نونّها بشنطتين  💛🍬
https://t.co/lAIFzIxDuC https://t.co/fB36xCAOVp",1,1038426750965886982,2018-09-08 14:00:05,Socialbakers,8,1,Kingdom of Saudi Arabia,noon,نون
"@mohammed_7fg مرحباً محمد، كل الشكر والتقدير لك على الدعم والمحبة. نعدك بأن نكون دوماً عند حسن ظنك! 💛
#noonlove",1,1038360168281657351,2018-09-08 09:35:30,Falcon Social Media Management ,1,0,Kingdom of Saudi Arabia,noon,نون
"@semo_6S6 @noon_cares @s_alqhtani7 مرحباً سما، سعداء لسماع ذلك ونشكرك على محبتك التي نكبر ونفخر بها.
إلى أن نلتقي مجدداً في طلبك القادم، أطيب التحيات من فريق عمل نون!",1,1038353638253645824,2018-09-08 09:09:33,Falcon Social Media Management ,0,0,Kingdom of Saudi Arabia,noon,نون
@h5d3NR59q2rkEpd @i5smxi شكرًا لك على كلماتك الرائعة، وتأكد أن ذلك يحفزنا لنبقى عند حسن ظنك دائمًا. شكرًا جزيلًا ❤,1,1038215552962109440,2018-09-08 00:00:51,Falcon Social Media Management ,0,0,Kingdom of Saudi Arabia,noon,نون
"خلك أنيق وكل أغراضك معك، نوّنها الحين💼💛
https://t.co/mIh6rSoTIw https://t.co/Rr7LiIBbql",1,1038064349925990405,2018-09-07 14:00:01,Socialbakers,10,1,Kingdom of Saudi Arabia,noon,نون
@iii45xx @AlabbasAlfadl @i5smxi @SouqKSA مرحباً، شكراً لك على كلماتك اللطيفة، نحن نفخر ونكبر بمحبتك.,1,1038059591731490822,2018-09-07 13:41:07,Falcon Social Media Management ,0,0,Kingdom of Saudi Arabia,noon,نون
@fo0of99 بالعافية عليك💛😍,1,1038057854350045184,2018-09-07 13:34:13,Falcon Social Media Management ,0,0,Kingdom of Saudi Arabia,noon,نون
@so09oo @i5smxi سعيدين بخدمتكم  😍💛,1,1038057125765939200,2018-09-07 13:31:19,Falcon Social Media Management ,0,0,Kingdom of Saudi Arabia,noon,نون
@SaudVK https://t.co/9UKuOQlhmc,1,1037960523541823488,2018-09-07 07:07:27,Falcon Social Media Management ,0,1,Kingdom of Saudi Arabia,noon,نون
@RamovC @souq https://t.co/PqVI7aNHDX,1,1037959813106487298,2018-09-07 07:04:38,Falcon Social Media Management ,1,0,Kingdom of Saudi Arabia,noon,نون
@7zb_19 @i5smxi تسعدنا خدمتكم و رضاكم 💛,1,1037733171117391876,2018-09-06 16:04:02,Falcon Social Media Management ,0,0,Kingdom of Saudi Arabia,noon,نون
@reha9r @i5smxi كلك ذوق 💛,1,1037732689879724040,2018-09-06 16:02:08,Falcon Social Media Management ,0,0,Kingdom of Saudi Arabia,noon,نون
"لمستخدمي بطاقة الراجحي، ضبطناكم بخصم 20% 💳
* تم تمديد العرض حتى نهاية الشهر
 https://t.co/JQRgq1pccK https://t.co/kBx8oN4eTv",1,1037701962643300352,2018-09-06 14:00:02,Socialbakers,30,13,Kingdom of Saudi Arabia,noon,نون
@_Some_m 😍💛هذا واجبنا,1,1037610239825207297,2018-09-06 07:55:33,Falcon Social Media Management ,0,0,Kingdom of Saudi Arabia,noon,نون
@cxd4010 @noon_cares @aammm110 😍💛سعيدين بتواجدك معنا,1,1037608788101132288,2018-09-06 07:49:47,Falcon Social Media Management ,0,0,Kingdom of Saudi Arabia,noon,نون
@iiimj21 💛😍 https://t.co/wsaZeBYph1,1,1037574617609723904,2018-09-06 05:34:00,Falcon Social Media Management ,0,0,Kingdom of Saudi Arabia,noon,نون
"شنطة وحدة فيها لاب توب وجاكيت وشاحن وسناك
طيب وشرايك بثنتين؟ 🙇‍♂️💛
https://t.co/lAIFzIxDuC https://t.co/yFj6ynei74",1,1037369833824735232,2018-09-05 16:00:16,Socialbakers,12,2,Kingdom of Saudi Arabia,noon,نون
